title,summary,published,updated,authors,pdf_url,primary_category,categories
Advancing Arabic Speech Recognition Through Large-Scale Weakly Supervised Learning,"Automatic speech recognition (ASR) is crucial for human-machine interaction
in diverse applications like conversational agents, industrial robotics, call
center automation, and automated subtitling. However, developing
high-performance ASR models remains challenging, particularly for low-resource
languages like Arabic, due to the scarcity of large, labeled speech datasets,
which are costly and labor-intensive to produce. In this work, we employ weakly
supervised learning to train an Arabic ASR model using the Conformer
architecture. Our model is trained from scratch on 15,000 hours of weakly
annotated speech data covering both Modern Standard Arabic (MSA) and Dialectal
Arabic (DA), eliminating the need for costly manual transcriptions. Despite the
absence of human-verified labels, our approach attains state-of-the-art (SOTA)
performance, exceeding all previous efforts in the field of Arabic ASR on the
standard benchmarks. By demonstrating the effectiveness of weak supervision as
a scalable, cost-efficient alternative to traditional supervised approaches,
paving the way for improved ASR systems in low resource settings.",2025-04-16 17:05:14+00:00,2025-04-16 17:05:14+00:00,"['Mahmoud Salhab', 'Marwan Elghitany', 'Shameed Sait', 'Syed Sibghat Ullah', 'Mohammad Abusheikh', 'Hasan Abusheikh']",http://arxiv.org/pdf/2504.12254v1,cs.AI,"['cs.AI', 'cs.CL']"
AnomalyGen: An Automated Semantic Log Sequence Generation Framework with LLM for Anomaly Detection,"The scarcity of high-quality public log datasets has become a critical
bottleneck in advancing log-based anomaly detection techniques. Current
datasets exhibit three fundamental limitations: (1) incomplete event coverage,
(2) artificial patterns introduced by static analysis-based generation
frameworks, and (3) insufficient semantic awareness. To address these
challenges, we present AnomalyGen, the first automated log synthesis framework
specifically designed for anomaly detection. Our framework introduces a novel
four-phase architecture that integrates enhanced program analysis with
Chain-of-Thought reasoning (CoT reasoning), enabling iterative log generation
and anomaly annotation without requiring physical system execution. Evaluations
on Hadoop and HDFS distributed systems demonstrate that AnomalyGen achieves
substantially broader log event coverage (38-95 times improvement over existing
datasets) while producing more operationally realistic log sequences compared
to static analysis-based approaches. When augmenting benchmark datasets with
synthesized logs, we observe maximum F1-score improvements of 3.7% (average
1.8% improvement across three state-of-the-art anomaly detection models). This
work not only establishes a high-quality benchmarking resource for automated
log analysis but also pioneers a new paradigm for applying large language
models (LLMs) in software engineering workflows.",2025-04-16 16:54:38+00:00,2025-04-16 16:54:38+00:00,"['Xinyu Li', 'Yingtong Huo', 'Chenxi Mao', 'Shiwen Shan', 'Yuxin Su', 'Dan Li', 'Zibin Zheng']",http://arxiv.org/pdf/2504.12250v1,cs.SE,['cs.SE']
Comparative Evaluation of Radiomics and Deep Learning Models for Disease Detection in Chest Radiography,"The application of artificial intelligence (AI) in medical imaging has
revolutionized diagnostic practices, enabling advanced analysis and
interpretation of radiological data. This study presents a comprehensive
evaluation of radiomics-based and deep learning-based approaches for disease
detection in chest radiography, focusing on COVID-19, lung opacity, and viral
pneumonia. While deep learning models, particularly convolutional neural
networks (CNNs) and vision transformers (ViTs), learn directly from image data,
radiomics-based models extract and analyze quantitative features, potentially
providing advantages in data-limited scenarios. This study systematically
compares the diagnostic accuracy and robustness of various AI models, including
Decision Trees, Gradient Boosting, Random Forests, Support Vector Machines
(SVM), and Multi-Layer Perceptrons (MLP) for radiomics, against
state-of-the-art computer vision deep learning architectures. Performance
metrics across varying sample sizes reveal insights into each model's efficacy,
highlighting the contexts in which specific AI approaches may offer enhanced
diagnostic capabilities. The results aim to inform the integration of AI-driven
diagnostic tools in clinical practice, particularly in automated and
high-throughput environments where timely, reliable diagnosis is critical. This
comparative study addresses an essential gap, establishing guidance for the
selection of AI models based on clinical and operational needs.",2025-04-16 16:54:37+00:00,2025-04-16 16:54:37+00:00,"['Zhijin He', 'Alan B. McMillan']",http://arxiv.org/pdf/2504.12249v1,eess.IV,"['eess.IV', 'cs.CV', 'cs.LG']"
Towards Human-Centered Early Prediction Models for Academic Performance in Real-World Contexts,"Supporting student success requires collaboration among multiple
stakeholders. Researchers have explored machine learning models for academic
performance prediction; yet key challenges remain in ensuring these models are
interpretable, equitable, and actionable within real-world educational support
systems. First, many models prioritize predictive accuracy but overlook
human-centered considerations, limiting trust among students and reducing their
usefulness for educators and institutional decision-makers. Second, most models
require at least a month of data before making reliable predictions, delaying
opportunities for early intervention. Third, current models primarily rely on
sporadically collected, classroom-derived data, missing broader behavioral
patterns that could provide more continuous and actionable insights. To address
these gaps, we present three modeling approaches-LR, 1D-CNN, and MTL-1D-CNN-to
classify students as low or high academic performers. We evaluate them based on
explainability, fairness, and generalizability to assess their alignment with
key social values. Using behavioral and self-reported data collected within the
first week of two Spring terms, we demonstrate that these models can identify
at-risk students as early as week one. However, trade-offs across
human-centered considerations highlight the complexity of designing predictive
models that effectively support multi-stakeholder decision-making and
intervention strategies. We discuss these trade-offs and their implications for
different stakeholders, outlining how predictive models can be integrated into
student support systems. Finally, we examine broader socio-technical challenges
in deploying these models and propose future directions for advancing
human-centered, collaborative academic prediction systems.",2025-04-16 16:40:56+00:00,2025-04-16 16:40:56+00:00,"['Han Zhang', 'Yiyi Ren', 'Paula S. Nurius', 'Jennifer Mankoff', 'Anind K. Dey']",http://arxiv.org/pdf/2504.12236v1,cs.HC,"['cs.HC', '68U35', 'H.5.0; I.2.m']"
Watermarking Needs Input Repetition Masking,"Recent advancements in Large Language Models (LLMs) raised concerns over
potential misuse, such as for spreading misinformation. In response two counter
measures emerged: machine learning-based detectors that predict if text is
synthetic, and LLM watermarking, which subtly marks generated text for
identification and attribution. Meanwhile, humans are known to adjust language
to their conversational partners both syntactically and lexically. By
implication, it is possible that humans or unwatermarked LLMs could
unintentionally mimic properties of LLM generated text, making counter measures
unreliable. In this work we investigate the extent to which such conversational
adaptation happens. We call the concept $\textit{mimicry}$ and demonstrate that
both humans and LLMs end up mimicking, including the watermarking signal even
in seemingly improbable settings. This challenges current academic assumptions
and suggests that for long-term watermarking to be reliable, the likelihood of
false positives needs to be significantly lower, while longer word sequences
should be used for seeding watermarking mechanisms.",2025-04-16 16:25:26+00:00,2025-04-16 16:25:26+00:00,"['David Khachaturov', 'Robert Mullins', 'Ilia Shumailov', 'Sumanth Dathathri']",http://arxiv.org/pdf/2504.12229v1,cs.LG,"['cs.LG', 'cs.CL', 'cs.CR']"
zkVC: Fast Zero-Knowledge Proof for Private and Verifiable Computing,"In the context of cloud computing, services are held on cloud servers, where
the clients send their data to the server and obtain the results returned by
server. However, the computation, data and results are prone to tampering due
to the vulnerabilities on the server side. Thus, verifying the integrity of
computation is important in the client-server setting. The cryptographic method
known as Zero-Knowledge Proof (ZKP) is renowned for facilitating private and
verifiable computing. ZKP allows the client to validate that the results from
the server are computed correctly without violating the privacy of the server's
intellectual property. Zero-Knowledge Succinct Non-Interactive Argument of
Knowledge (zkSNARKs), in particular, has been widely applied in various
applications like blockchain and verifiable machine learning. Despite their
popularity, existing zkSNARKs approaches remain highly computationally
intensive. For instance, even basic operations like matrix multiplication
require an extensive number of constraints, resulting in significant overhead.
In addressing this challenge, we introduce \textit{zkVC}, which optimizes the
ZKP computation for matrix multiplication, enabling rapid proof generation on
the server side and efficient verification on the client side. zkVC integrates
optimized ZKP modules, such as Constraint-reduced Polynomial Circuit (CRPC) and
Prefix-Sum Query (PSQ), collectively yielding a more than 12-fold increase in
proof speed over prior methods. The code is available at
https://github.com/UCF-Lou-Lab-PET/zkformer",2025-04-16 16:11:11+00:00,2025-04-16 16:11:11+00:00,"['Yancheng Zhang', 'Mengxin Zheng', 'Xun Chen', 'Jingtong Hu', 'Weidong Shi', 'Lei Ju', 'Yan Solihin', 'Qian Lou']",http://arxiv.org/pdf/2504.12217v1,cs.CR,['cs.CR']
d1: Scaling Reasoning in Diffusion Large Language Models via Reinforcement Learning,"Recent large language models (LLMs) have demonstrated strong reasoning
capabilities that benefits from online reinforcement learning (RL). These
capabilities have primarily been demonstrated within the left-to-right
autoregressive (AR) generation paradigm. In contrast, non-autoregressive
paradigms based on diffusion generate text in a coarse-to-fine manner. Although
recent diffusion-based large language models (dLLMs) have achieved competitive
language modeling performance compared to their AR counterparts, it remains
unclear if dLLMs can also leverage recent advances in LLM reasoning. To this
end, we propose d1, a framework to adapt pre-trained masked dLLMs into
reasoning models via a combination of supervised finetuning (SFT) and RL.
Specifically, we develop and extend techniques to improve reasoning in
pretrained dLLMs: (a) we utilize a masked SFT technique to distill knowledge
and instill self-improvement behavior directly from existing datasets, and (b)
we introduce a novel critic-free, policy-gradient based RL algorithm called
diffu-GRPO. Through empirical studies, we investigate the performance of
different post-training recipes on multiple mathematical and logical reasoning
benchmarks. We find that d1 yields the best performance and significantly
improves performance of a state-of-the-art dLLM.",2025-04-16 16:08:45+00:00,2025-04-16 16:08:45+00:00,"['Siyan Zhao', 'Devaansh Gupta', 'Qinqing Zheng', 'Aditya Grover']",http://arxiv.org/pdf/2504.12216v1,cs.CL,"['cs.CL', 'cs.LG']"
Uncertainty-Guided Coarse-to-Fine Tumor Segmentation with Anatomy-Aware Post-Processing,"Reliable tumor segmentation in thoracic computed tomography (CT) remains
challenging due to boundary ambiguity, class imbalance, and anatomical
variability. We propose an uncertainty-guided, coarse-to-fine segmentation
framework that combines full-volume tumor localization with refined
region-of-interest (ROI) segmentation, enhanced by anatomically aware
post-processing. The first-stage model generates a coarse prediction, followed
by anatomically informed filtering based on lung overlap, proximity to lung
surfaces, and component size. The resulting ROIs are segmented by a
second-stage model trained with uncertainty-aware loss functions to improve
accuracy and boundary calibration in ambiguous regions. Experiments on private
and public datasets demonstrate improvements in Dice and Hausdorff scores, with
fewer false positives and enhanced spatial interpretability. These results
highlight the value of combining uncertainty modeling and anatomical priors in
cascaded segmentation pipelines for robust and clinically meaningful tumor
delineation. On the Orlando dataset, our framework improved Swin UNETR Dice
from 0.4690 to 0.6447. Reduction in spurious components was strongly correlated
with segmentation gains, underscoring the value of anatomically informed
post-processing.",2025-04-16 16:08:38+00:00,2025-04-16 16:08:38+00:00,"['Ilkin Sevgi Isler', 'David Mohaisen', 'Curtis Lisle', 'Damla Turgut', 'Ulas Bagci']",http://arxiv.org/pdf/2504.12215v1,cs.CV,"['cs.CV', 'cs.AI']"
Creating benchmarkable components to measure the quality ofAI-enhanced developer tools,"In the AI community, benchmarks to evaluate model quality are well
established, but an equivalent approach to benchmarking products built upon
generative AI models is still missing. This has had two consequences. First, it
has made teams focus on model quality over the developer experience, while
successful products combine both. Second, product team have struggled to answer
questions about their products in relation to their competitors.
  In this case study, we share: (1) our process to create robust,
enterprise-grade and modular components to support the benchmarking of the
developer experience (DX) dimensions of our team's AI for code offerings, and
(2) the components we have created to do so, including demographics and
attitudes towards AI surveys, a benchmarkable task, and task and feature
surveys. By doing so, we hope to lower the barrier to the DX benchmarking of
genAI-enhanced code products.",2025-04-16 15:58:33+00:00,2025-04-16 15:58:33+00:00,"['Elise Paradis', 'Ambar Murillo', 'Maulishree Pandey', ""Sarah D'Angelo"", 'Matthew Hughes', 'Andrew Macvean', 'Ben Ferrari-Church']",http://arxiv.org/pdf/2504.12211v1,cs.SE,"['cs.SE', 'cs.HC', 'C.4; D.2.8; D.2.6; H.5.2; I.2.1; I.2.m']"
Communication Optimization for Decentralized Learning atop Bandwidth-limited Edge Networks,"Decentralized federated learning (DFL) is a promising machine learning
paradigm for bringing artificial intelligence (AI) capabilities to the network
edge. Running DFL on top of edge networks, however, faces severe performance
challenges due to the extensive parameter exchanges between agents. Most
existing solutions for these challenges were based on simplistic communication
models, which cannot capture the case of learning over a multi-hop
bandwidth-limited network. In this work, we address this problem by jointly
designing the communication scheme for the overlay network formed by the agents
and the mixing matrix that controls the communication demands between the
agents. By carefully analyzing the properties of our problem, we cast each
design problem into a tractable optimization and develop an efficient algorithm
with guaranteed performance. Our evaluations based on real topology and data
show that the proposed algorithm can reduce the total training time by over
$80\%$ compared to the baseline without sacrificing accuracy, while
significantly improving the computational efficiency over the state of the art.",2025-04-16 15:56:57+00:00,2025-04-16 15:56:57+00:00,"['Tingyang Sun', 'Tuan Nguyen', 'Ting He']",http://arxiv.org/pdf/2504.12210v1,cs.NI,"['cs.NI', 'cs.AI', 'cs.DC', 'cs.LG']"
Beyond Patches: Mining Interpretable Part-Prototypes for Explainable AI,"Deep learning has provided considerable advancements for multimedia systems,
yet the interpretability of deep models remains a challenge. State-of-the-art
post-hoc explainability methods, such as GradCAM, provide visual interpretation
based on heatmaps but lack conceptual clarity. Prototype-based approaches, like
ProtoPNet and PIPNet, offer a more structured explanation but rely on fixed
patches, limiting their robustness and semantic consistency.
  To address these limitations, a part-prototypical concept mining network
(PCMNet) is proposed that dynamically learns interpretable prototypes from
meaningful regions. PCMNet clusters prototypes into concept groups, creating
semantically grounded explanations without requiring additional annotations.
Through a joint process of unsupervised part discovery and concept activation
vector extraction, PCMNet effectively captures discriminative concepts and
makes interpretable classification decisions.
  Our extensive experiments comparing PCMNet against state-of-the-art methods
on multiple datasets show that it can provide a high level of interpretability,
stability, and robustness under clean and occluded scenarios.",2025-04-16 15:48:21+00:00,2025-04-16 15:48:21+00:00,"['Mahdi Alehdaghi', 'Rajarshi Bhattacharya', 'Pourya Shamsolmoali', 'Rafael M. O. Cruz', 'Maguelonne Heritier', 'Eric Granger']",http://arxiv.org/pdf/2504.12197v1,cs.CV,['cs.CV']
From Requirements to Architecture: Semi-Automatically Generating Software Architectures,"To support junior and senior architects, I propose developing a new
architecture creation method that leverages LLMs' evolving capabilities to
support the architect. This method involves the architect's close collaboration
with LLM-fueled tooling over the whole process. The architect is guided through
Domain Model creation, Use Case specification, architectural decisions, and
architecture evaluation. While the architect can take complete control of the
process and the results, and use the tooling as a building set, they can follow
the intended process for maximum tooling support. The preliminary results
suggest the feasibility of this process and indicate major time savings for the
architect.",2025-04-16 15:46:56+00:00,2025-04-16 15:46:56+00:00,['Tobias Eisenreich'],http://arxiv.org/pdf/2504.12192v1,cs.SE,"['cs.SE', 'cs.AI', 'D.2.2']"
Leave-One-Out Stable Conformal Prediction,"Conformal prediction (CP) is an important tool for distribution-free
predictive uncertainty quantification. Yet, a major challenge is to balance
computational efficiency and prediction accuracy, particularly for multiple
predictions. We propose Leave-One-Out Stable Conformal Prediction (LOO-StabCP),
a novel method to speed up full conformal using algorithmic stability without
sample splitting. By leveraging leave-one-out stability, our method is much
faster in handling a large number of prediction requests compared to existing
method RO-StabCP based on replace-one stability. We derived stability bounds
for several popular machine learning tools: regularized loss minimization (RLM)
and stochastic gradient descent (SGD), as well as kernel method, neural
networks and bagging. Our method is theoretically justified and demonstrates
superior numerical performance on synthetic and real-world data. We applied our
method to a screening problem, where its effective exploitation of training
data led to improved test power compared to state-of-the-art method based on
split conformal.",2025-04-16 15:44:24+00:00,2025-04-16 15:44:24+00:00,"['Kiljae Lee', 'Yuan Zhang']",http://arxiv.org/pdf/2504.12189v1,stat.ML,"['stat.ML', 'cs.LG']"
Nonequilibrium physics of brain dynamics,"Information processing in the brain is coordinated by the dynamic activity of
neurons and neural populations at a range of spatiotemporal scales. These
dynamics, captured in the form of electrophysiological recordings and
neuroimaging, show evidence of time-irreversibility and broken detailed balance
suggesting that the brain operates in a nonequilibrium stationary state.
Furthermore, the level of nonequilibrium, measured by entropy production or
irreversibility appears to be a crucial signature of cognitive complexity and
consciousness. The subsequent study of neural dynamics from the perspective of
nonequilibrium statistical physics is an emergent field that challenges the
assumptions of symmetry and maximum-entropy that are common in traditional
models. In this review, we discuss the plethora of exciting results emerging at
the interface of nonequilibrium dynamics and neuroscience. We begin with an
introduction to the mathematical paradigms necessary to understand
nonequilibrium dynamics in both continuous and discrete state-spaces. Next, we
review both model-free and model-based approaches to analysing nonequilibrium
dynamics in both continuous-state recordings and neural spike-trains, as well
as the results of such analyses. We briefly consider the topic of
nonequilibrium computation in neural systems, before concluding with a
discussion and outlook on the field.",2025-04-16 15:43:35+00:00,2025-04-16 15:43:35+00:00,"['Ramón Nartallo-Kaluarachchi', 'Morten L. Kringelbach', 'Gustavo Deco', 'Renaud Lambiotte', 'Alain Goriely']",http://arxiv.org/pdf/2504.12188v1,q-bio.NC,"['q-bio.NC', 'cond-mat.dis-nn', 'cond-mat.stat-mech', 'math.DS']"
