Title,Authors,Summary,Published,Updated,URL,Primary Category
Evolutionary Reinforcement Learning for Interpretable Decision-Making in Supply Chain Management,"Stefano Genetti, Alberto Longobardi, Giovanni Iacca","In the context of Industry 4.0, Supply Chain Management (SCM) faces
challenges in adopting advanced optimization techniques due to the ""black-box""
nature of most AI-based solutions, which causes reluctance among company
stakeholders. To overcome this issue, in this work, we employ an Interpretable
Artificial Intelligence (IAI) approach that combines evolutionary computation
with Reinforcement Learning (RL) to generate interpretable decision-making
policies in the form of decision trees. This IAI solution is embedded within a
simulation-based optimization framework specifically designed to handle the
inherent uncertainties and stochastic behaviors of modern supply chains. To our
knowledge, this marks the first attempt to combine IAI with simulation-based
optimization for decision-making in SCM. The methodology is tested on two
supply chain optimization problems, one fictional and one from the real world,
and its performance is compared against widely used optimization and RL
algorithms. The results reveal that the interpretable approach delivers
competitive, and sometimes better, performance, challenging the prevailing
notion that there must be a trade-off between interpretability and optimization
efficiency. Additionally, the developed framework demonstrates strong potential
for industrial applications, offering seamless integration with various
Python-based algorithms.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.12023v1,cs.NE
Active Human Feedback Collection via Neural Contextual Dueling Bandits,"Arun Verma, Xiaoqiang Lin, Zhongxiang Dai, Daniela Rus, Bryan Kian Hsiang Low","Collecting human preference feedback is often expensive, leading recent works
to develop principled algorithms to select them more efficiently. However,
these works assume that the underlying reward function is linear, an assumption
that does not hold in many real-life applications, such as online
recommendation and LLM alignment. To address this limitation, we propose
Neural-ADB, an algorithm based on the neural contextual dueling bandit
framework that provides a principled and practical method for collecting human
preference feedback when the underlying latent reward function is non-linear.
We theoretically show that when preference feedback follows the
Bradley-Terry-Luce model, the worst sub-optimality gap of the policy learned by
Neural-ADB decreases at a sub-linear rate as the preference dataset increases.
Our experimental results on problem instances derived from synthetic preference
datasets further validate the effectiveness of Neural-ADB.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.12016v1,cs.LG
Purposefully Induced Psychosis (PIP): Embracing Hallucination as Imagination in Large Language Models,"Kris Pilcher, Esen K. Tütüncü","Hallucinations in Large Language Models (LLMs) are widely regarded as errors
- outputs that deviate from factual accuracy. However, in creative or
exploratory contexts, these ""mistakes"" may represent unexpected avenues for
innovation. We introduce Purposefully Induced Psychosis (PIP), a novel approach
that amplifies LLM hallucinations for imaginative tasks such as speculative
fiction, interactive storytelling, and mixed-reality simulations. Drawing on
Herman Melville's Moby-Dick, where Pip's ""madness"" reveals profound insight, we
reframe hallucinations as a source of computational imagination rather than a
flaw. Our method fine-tunes LLMs to encourage speculative, metaphorical, and
surreal outputs - hallucinations that are useful when factual accuracy is not
the chief objective. Inspired by the consensual illusions of theater and stage
magic, PIP situates these creative missteps in contexts where users willingly
suspend disbelief, thereby transforming ""errors"" into catalysts for new ways of
thinking. We discuss potential applications, design principles for ensuring
user consent, preliminary observations, and implications for broader AI ethics
and human-AI collaboration.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.12012v1,cs.AI
The Evolution of Zero Trust Architecture (ZTA) from Concept to Implementation,"Md Nasiruzzaman, Maaruf Ali, Iftekhar Salam, Mahdi H. Miraz","Zero Trust Architecture (ZTA) is one of the paradigm changes in
cybersecurity, from the traditional perimeter-based model to perimeterless.
This article studies the core concepts of ZTA, its beginning, a few use cases
and future trends. Emphasising the always verify and least privilege access,
some key tenets of ZTA have grown to be integration technologies like Identity
Management, Multi-Factor Authentication (MFA) and real-time analytics. ZTA is
expected to strengthen cloud environments, education, work environments
(including from home) while controlling other risks like lateral movement and
insider threats. Despite ZTA's benefits, it comes with challenges in the form
of complexity, performance overhead and vulnerabilities in the control plane.
These require phased implementation and continuous refinement to keep up with
evolving organisational needs and threat landscapes. Emerging technologies,
such as Artificial Intelligence (AI) and Machine Learning (ML) will further
automate policy enforcement and threat detection in keeping up with dynamic
cyber threats.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11984v1,cs.CR
Who Said Only Military Officers Can Deal with Uncertainty? On the Importance of Uncertainty in EdTech Data Visualisations,"Felicitas Macgilchrist, Juliane Jarke","AI-powered predictive systems have high margins of error. However, data
visualisations of algorithmic systems in education and other social fields tend
to visualise certainty, thus invisibilising the underlying approximations and
uncertainties of the algorithmic systems and the social settings in which these
systems operate. This paper draws on a critical speculative approach to first
analyse data visualisations from predictive analytics platforms for education.
It demonstrates that visualisations of uncertainty in education are rare.
Second, the paper explores uncertainty visualisations in other fields (defence,
climate change and healthcare). The paper concludes by reflecting on the role
of data visualisations and un/certainty in shaping educational futures. It also
identifies practical implications for the design of data visualisations in
education.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11974v1,cs.HC
Robust and Fine-Grained Detection of AI Generated Texts,"Ram Mohan Rao Kadiyala, Siddartha Pullakhandam, Kanwal Mehreen, Drishti Sharma, Siddhant Gupta, Jebish Purbey, Ashay Srivastava, Subhasya TippaReddy, Arvind Reddy Bobbili, Suraj Telugara Chandrashekhar, Modabbir Adeeb, Srinadh Vura, Hamza Farooq","An ideal detection system for machine generated content is supposed to work
well on any generator as many more advanced LLMs come into existence day by
day. Existing systems often struggle with accurately identifying AI-generated
content over shorter texts. Further, not all texts might be entirely authored
by a human or LLM, hence we focused more over partial cases i.e human-LLM
co-authored texts. Our paper introduces a set of models built for the task of
token classification which are trained on an extensive collection of
human-machine co-authored texts, which performed well over texts of unseen
domains, unseen generators, texts by non-native speakers and those with
adversarial inputs. We also introduce a new dataset of over 2.4M such texts
mostly co-authored by several popular proprietary LLMs over 23 languages. We
also present findings of our models' performance over each texts of each domain
and generator. Additional findings include comparison of performance against
each adversarial method, length of input texts and characteristics of generated
texts compared to the original human authored texts.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11952v1,cs.CL
Zooming In on Fakes: A Novel Dataset for Localized AI-Generated Image Detection with Forgery Amplification Approach,"Lvpan Cai, Haowei Wang, Jiayi Ji, YanShu ZhouMen, Yiwei Ma, Xiaoshuai Sun, Liujuan Cao, Rongrong Ji","The rise of AI-generated image editing tools has made localized forgeries
increasingly realistic, posing challenges for visual content integrity.
Although recent efforts have explored localized AIGC detection, existing
datasets predominantly focus on object-level forgeries while overlooking
broader scene edits in regions such as sky or ground. To address these
limitations, we introduce \textbf{BR-Gen}, a large-scale dataset of 150,000
locally forged images with diverse scene-aware annotations, which are based on
semantic calibration to ensure high-quality samples. BR-Gen is constructed
through a fully automated Perception-Creation-Evaluation pipeline to ensure
semantic coherence and visual realism. In addition, we further propose
\textbf{NFA-ViT}, a Noise-guided Forgery Amplification Vision Transformer that
enhances the detection of localized forgeries by amplifying forgery-related
features across the entire image. NFA-ViT mines heterogeneous regions in
images, \emph{i.e.}, potential edited areas, by noise fingerprints.
Subsequently, attention mechanism is introduced to compel the interaction
between normal and abnormal features, thereby propagating the generalization
traces throughout the entire image, allowing subtle forgeries to influence a
broader context and improving overall detection robustness. Extensive
experiments demonstrate that BR-Gen constructs entirely new scenarios that are
not covered by existing methods. Take a step further, NFA-ViT outperforms
existing methods on BR-Gen and generalizes well across current benchmarks. All
data and codes are available at https://github.com/clpbc/BR-Gen.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11922v1,cs.CV
Rethinking the Generation of High-Quality CoT Data from the Perspective of LLM-Adaptive Question Difficulty Grading,"Qianjin Yu, Keyu Wu, Zihan Chen, Chushu Zhang, Manlin Mei, Lingjun Huang, Fang Tan, Yongsheng Du, Kunlin Liu, Yurui Zhu","Recently, DeepSeek-R1 (671B) (DeepSeek-AIet al., 2025) has demonstrated its
excellent reasoning ability in complex tasks and has publiclyshared its
methodology. This provides potentially high-quality chain-of-thought (CoT) data
for stimulating the reasoning abilities of small-sized large language models
(LLMs). To generate high-quality CoT data for different LLMs, we seek an
efficient method for generating high-quality CoT data with LLM-Adaptive
questiondifficulty levels. First, we grade the difficulty of the questions
according to the reasoning ability of the LLMs themselves and construct a
LLM-Adaptive question database. Second, we sample the problem database based on
a distribution of difficulty levels of the questions and then use DeepSeek-R1
(671B) (DeepSeek-AI et al., 2025) to generate the corresponding high-quality
CoT data with correct answers. Thanks to the construction of CoT data with
LLM-Adaptive difficulty levels, we have significantly reduced the cost of data
generation and enhanced the efficiency of model supervised fine-tuning (SFT).
Finally, we have validated the effectiveness and generalizability of the
proposed method in the fields of complex mathematical competitions and code
generation tasks. Notably, with only 2k high-quality mathematical CoT data, our
ZMath-32B surpasses DeepSeek-Distill-32B in math reasoning task. Similarly,
with only 2k high-quality code CoT data, our ZCode-32B surpasses
DeepSeek-Distill-32B in code reasoning tasks.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11919v1,cs.AI
A Bidirectional DeepParticle Method for Efficiently Solving Low-dimensional Transport Map Problems,"Tan Zhang, Zhongjian Wang, Jack Xin, Zhiwen Zhang","This paper aims to efficiently compute transport maps between probability
distributions arising from particle representation of bio-physical problems. We
develop a bidirectional DeepParticle (BDP) method to learn and generate
solutions under varying physical parameters. Solutions are approximated as
empirical measures of particles that adaptively align with the high-gradient
regions. The core idea of the BDP method is to learn both forward and reverse
mappings (between the uniform and a non-trivial target distribution) by
minimizing the discrete 2-Wasserstein distance (W2) and optimizing the
transition map therein by a minibatch technique. We present numerical results
demonstrating the effectiveness of the BDP method for learning and generating
solutions to Keller-Segel chemotaxis systems in the presence of laminar flows
and Kolmogorov flows with chaotic streamlines in three space dimensions. The
BDP outperforms two recent representative single-step flow matching and
diffusion models (rectified flow and shortcut diffusion models) in the
generative AI literature. However when the target distribution is
high-dimensional (4 and above), e.g. a mixture of two Gaussians, the
single-step diffusion models scale better in dimensions than BDP in terms of
W2-accuracy.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11851v1,physics.comp-ph
Schemex: Interactive Structural Abstraction from Examples with Contrastive Refinement,"Sitong Wang, Samia Menon, Dingzeyu Li, Xiaojuan Ma, Richard Zemel, Lydia B. Chilton","Each type of creative or communicative work is underpinned by an implicit
structure. People learn these structures from examples - a process known in
cognitive science as schema induction. However, inducing schemas is
challenging, as structural patterns are often obscured by surface-level
variation. We present Schemex, an interactive visual workflow that scaffolds
schema induction through clustering, abstraction, and contrastive refinement.
Schemex supports users through visual representations and interactive
exploration that connect abstract structures to concrete examples, promoting
transparency, adaptability, and effective human-AI collaboration. In our user
study, participants reported significantly greater insight and confidence in
the schemas developed with Schemex compared to those created using a baseline
of an AI reasoning model. We conclude by discussing the broader implications of
structural abstraction and contrastive refinement across domains.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11795v1,cs.HC
Large Language Models for Drug Overdose Prediction from Longitudinal Medical Records,"Md Sultan Al Nahian, Chris Delcher, Daniel Harris, Peter Akpunonu, Ramakanth Kavuluru","The ability to predict drug overdose risk from a patient's medical records is
crucial for timely intervention and prevention. Traditional machine learning
models have shown promise in analyzing longitudinal medical records for this
task. However, recent advancements in large language models (LLMs) offer an
opportunity to enhance prediction performance by leveraging their ability to
process long textual data and their inherent prior knowledge across diverse
tasks. In this study, we assess the effectiveness of Open AI's GPT-4o LLM in
predicting drug overdose events using patients' longitudinal insurance claims
records. We evaluate its performance in both fine-tuned and zero-shot settings,
comparing them to strong traditional machine learning methods as baselines. Our
results show that LLMs not only outperform traditional models in certain
settings but can also predict overdose risk in a zero-shot setting without
task-specific training. These findings highlight the potential of LLMs in
clinical decision support, particularly for drug overdose risk prediction.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11792v1,cs.AI
Agile Retrospectives: What went well? What didn't go well? What should we do?,"Maria Spichkova, Hina Lee, Kevin Iwan, Madeleine Zwart, Yuwon Yoon, Xiaohan Qin","In Agile/Scrum software development, the idea of retrospective meetings
(retros) is one of the core elements of the project process. In this paper, we
present our work in progress focusing on two aspects: analysis of potential
usage of generative AI for information interaction within retrospective
meetings, and visualisation of retros' information to software development
teams. We also present our prototype tool RetroAI++, focusing on retros-related
functionalities.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11780v1,cs.SE
Discrimination-free Insurance Pricing with Privatized Sensitive Attributes,"Tianhe Zhang, Suhan Liu, Peng Shi","Fairness has emerged as a critical consideration in the landscape of machine
learning algorithms, particularly as AI continues to transform decision-making
across societal domains. To ensure that these algorithms are free from bias and
do not discriminate against individuals based on sensitive attributes such as
gender and race, the field of algorithmic bias has introduced various fairness
concepts, along with methodologies to achieve these notions in different
contexts. Despite the rapid advancement, not all sectors have embraced these
fairness principles to the same extent. One specific sector that merits
attention in this regard is insurance. Within the realm of insurance pricing,
fairness is defined through a distinct and specialized framework. Consequently,
achieving fairness according to established notions does not automatically
ensure fair pricing in insurance. In particular, regulators are increasingly
emphasizing transparency in pricing algorithms and imposing constraints on
insurance companies on the collection and utilization of sensitive consumer
attributes. These factors present additional challenges in the implementation
of fairness in pricing algorithms. To address these complexities and comply
with regulatory demands, we propose an efficient method for constructing fair
models that are tailored to the insurance domain, using only privatized
sensitive attributes. Notably, our approach ensures statistical guarantees,
does not require direct access to sensitive attributes, and adapts to varying
transparency requirements, addressing regulatory demands while ensuring
fairness in insurance pricing.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11775v1,stat.ML
Characterizing and Optimizing LLM Inference Workloads on CPU-GPU Coupled Architectures,"Prabhu Vellaisamy, Thomas Labonte, Sourav Chakraborty, Matt Turner, Samantika Sury, John Paul Shen","Large language model (LLM)-based inference workloads increasingly dominate
data center costs and resource utilization. Therefore, understanding the
inference workload characteristics on evolving CPU-GPU coupled architectures is
crucial for optimization. This paper presents an in-depth analysis of LLM
inference behavior on loosely-coupled (PCIe A100/H100) and closely-coupled
(GH200) systems. We analyze performance dynamics using fine-grained
operator-to-kernel trace analysis, facilitated by our novel profiler SKIP and
metrics like Total Kernel Launch and Queuing Time (TKLQT). Results show that
closely-coupled (CC) GH200 significantly outperforms loosely-coupled (LC)
systems at large batch sizes, achieving 1.9x-2.7x faster prefill latency for
Llama 3.2-1B. However, our analysis also reveals that GH200 remains CPU-bound
up to 4x larger batch sizes than LC systems. In this extended CPU-bound region,
we identify the performance characteristics of the Grace CPU as a key factor
contributing to higher inference latency at low batch sizes on GH200. We
demonstrate that TKLQT accurately identifies this CPU/GPU-bound transition
point. Based on this analysis, we further show that kernel fusion offers
significant potential to mitigate GH200's low-batch latency bottleneck by
reducing kernel launch overhead. This detailed kernel-level characterization
provides critical insights for optimizing diverse CPU-GPU coupling strategies.
This work is an initial effort, and we plan to explore other major AI/DL
workloads that demand different degrees of CPU-GPU heterogeneous architectures.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11750v1,cs.DC
Safety with Agency: Human-Centered Safety Filter with Application to AI-Assisted Motorsports,"Donggeon David Oh, Justin Lidard, Haimin Hu, Himani Sinhmar, Elle Lazarski, Deepak Gopinath, Emily S. Sumner, Jonathan A. DeCastro, Guy Rosman, Naomi Ehrich Leonard, Jaime Fernández Fisac","We propose a human-centered safety filter (HCSF) for shared autonomy that
significantly enhances system safety without compromising human agency. Our
HCSF is built on a neural safety value function, which we first learn scalably
through black-box interactions and then use at deployment to enforce a novel
quality control barrier function (Q-CBF) safety constraint. Since this Q-CBF
safety filter does not require any knowledge of the system dynamics for both
synthesis and runtime safety monitoring and intervention, our method applies
readily to complex, black-box shared autonomy systems. Notably, our HCSF's
CBF-based interventions modify the human's actions minimally and smoothly,
avoiding the abrupt, last-moment corrections delivered by many conventional
safety filters. We validate our approach in a comprehensive in-person user
study using Assetto Corsa-a high-fidelity car racing simulator with black-box
dynamics-to assess robustness in ""driving on the edge"" scenarios. We compare
both trajectory data and drivers' perceptions of our HCSF assistance against
unassisted driving and a conventional safety filter. Experimental results show
that 1) compared to having no assistance, our HCSF improves both safety and
user satisfaction without compromising human agency or comfort, and 2) relative
to a conventional safety filter, our proposed HCSF boosts human agency,
comfort, and satisfaction while maintaining robustness.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11717v1,cs.RO
Progent: Programmable Privilege Control for LLM Agents,"Tianneng Shi, Jingxuan He, Zhun Wang, Linyu Wu, Hongwei Li, Wenbo Guo, Dawn Song","LLM agents are an emerging form of AI systems where large language models
(LLMs) serve as the central component, utilizing a diverse set of tools to
complete user-assigned tasks. Despite their great potential, LLM agents pose
significant security risks. When interacting with the external world, they may
encounter malicious commands from attackers, leading to the execution of
dangerous actions. A promising way to address this is by enforcing the
principle of least privilege: allowing only essential actions for task
completion while blocking unnecessary ones. However, achieving this is
challenging, as it requires covering diverse agent scenarios while preserving
both security and utility.
  We introduce Progent, the first privilege control mechanism for LLM agents.
At its core is a domain-specific language for flexibly expressing privilege
control policies applied during agent execution. These policies provide
fine-grained constraints over tool calls, deciding when tool calls are
permissible and specifying fallbacks if they are not. This enables agent
developers and users to craft suitable policies for their specific use cases
and enforce them deterministically to guarantee security. Thanks to its modular
design, integrating Progent does not alter agent internals and requires only
minimal changes to agent implementation, enhancing its practicality and
potential for widespread adoption. To automate policy writing, we leverage LLMs
to generate policies based on user queries, which are then updated dynamically
for improved security and utility. Our extensive evaluation shows that it
enables strong security while preserving high utility across three distinct
scenarios or benchmarks: AgentDojo, ASB, and AgentPoison. Furthermore, we
perform an in-depth analysis, showcasing the effectiveness of its core
components and the resilience of its automated policy generation against
adaptive attacks.",2025-04-16,2025-04-16,http://arxiv.org/abs/2504.11703v1,cs.CR
