Title,Summary,Authors,Published,Updated,PDF_URL,Primary_Category,Categories
LCQNN: Linear Combination of Quantum Neural Networks,"Quantum neural networks combine quantum computing with advanced data-driven
methods, offering promising applications in quantum machine learning. However,
the optimal paradigm of quantum neural networks in the context trainability and
expressivity remains an open question. To overcome this issue, we first
introduce a framework called Linear Combination of Quantum Neural Networks
(LCQNN), which leverages the linear combination of unitaries concept to
coordinate the composition of QNNs, thereby balancing trainability and
expressivity. Secondly, LCQNN provides a tunable design that can reduce
vanishing gradients without incurring excessive classical simulability.
Specifically, we detail how restricting certain subspaces or adopting $k$-local
control unitaries prevents gradients from collapsing while maintaining enough
parameter volume for complex tasks. These findings also align with prior
discussions on expanding QNN capabilities for multi-qubit systems.
Additionally, we extend the LCQNN to the group action scenarios. By exploiting
symmetry, the LCQNN model, excluding exponentially large irreducible subspaces,
can circumvent barren plateaus. Overall, LCQNN provides a novel framework for
focusing quantum resources into architectures that remain practically trainable
yet expressive enough to tackle challenging machine-learning applications.","['Hongshun Yao', 'Xia Liu', 'Mingrui Jing', 'Xin Wang']",2025-07-03 17:43:10+00:00,2025-07-03 17:43:10+00:00,http://arxiv.org/pdf/2507.02832v1,quant-ph,['quant-ph']
Establishing Best Practices for Building Rigorous Agentic Benchmarks,"Benchmarks are essential for quantitatively tracking progress in AI. As AI
agents become increasingly capable, researchers and practitioners have
introduced agentic benchmarks to evaluate agents on complex, real-world tasks.
These benchmarks typically measure agent capabilities by evaluating task
outcomes via specific reward designs. However, we show that many agentic
benchmarks have issues task setup or reward design. For example, SWE-bench
Verified uses insufficient test cases, while TAU-bench counts empty responses
as successful. Such issues can lead to under- or overestimation agents'
performance by up to 100% in relative terms. To make agentic evaluation
rigorous, we introduce the Agentic Benchmark Checklist (ABC), a set of
guidelines that we synthesized from our benchmark-building experience, a survey
of best practices, and previously reported issues. When applied to CVE-Bench, a
benchmark with a particularly complex evaluation design, ABC reduces the
performance overestimation by 33%.","['Yuxuan Zhu', 'Tengjun Jin', 'Yada Pruksachatkun', 'Andy Zhang', 'Shu Liu', 'Sasha Cui', 'Sayash Kapoor', 'Shayne Longpre', 'Kevin Meng', 'Rebecca Weiss', 'Fazl Barez', 'Rahul Gupta', 'Jwala Dhamala', 'Jacob Merizian', 'Mario Giulianelli', 'Harry Coppock', 'Cozmin Ududec', 'Jasjeet Sekhon', 'Jacob Steinhardt', 'Antony Kellerman', 'Sarah Schwettmann', 'Matei Zaharia', 'Ion Stoica', 'Percy Liang', 'Daniel Kang']",2025-07-03 17:35:31+00:00,2025-07-03 17:35:31+00:00,http://arxiv.org/pdf/2507.02825v1,cs.AI,"['cs.AI', 'A.1; I.2.m']"
DNN-Based Precoding in RIS-Aided mmWave MIMO Systems With Practical Phase Shift,"In this paper, the precoding design is investigated for maximizing the
throughput of millimeter wave (mmWave) multiple-input multiple-output (MIMO)
systems with obstructed direct communication paths. In particular, a
reconfigurable intelligent surface (RIS) is employed to enhance MIMO
transmissions, considering mmWave characteristics related to line-of-sight
(LoS) and multipath effects. The traditional exhaustive search (ES) for optimal
codewords in the continuous phase shift is computationally intensive and
time-consuming. To reduce computational complexity, permuted discrete Fourier
transform (DFT) vectors are used for finding codebook design, incorporating
amplitude responses for practical or ideal RIS systems. However, even if the
discrete phase shift is adopted in the ES, it results in significant
computation and is time-consuming. Instead, the trained deep neural network
(DNN) is developed to facilitate faster codeword selection. Simulation results
show that the DNN maintains sub-optimal spectral efficiency even as the
distance between the end-user and the RIS has variations in the testing phase.
These results highlight the potential of DNN in advancing RIS-aided systems.","['Po-Heng Chou', 'Ching-Wen Chen', 'Wan-Jen Huang', 'Walid Saad', 'Yu Tsao', 'Ronald Y. Chang']",2025-07-03 17:35:06+00:00,2025-07-03 17:35:06+00:00,http://arxiv.org/pdf/2507.02824v1,eess.SP,"['eess.SP', 'cs.AI', 'cs.LG']"
SynapseRoute: An Auto-Route Switching Framework on Dual-State Large Language Model,"With the widespread adoption of large language models (LLMs) in practical
applications, selecting an appropriate model requires balancing not only
performance but also operational cost. The emergence of reasoning-capable
models has further widened the cost gap between ""thinking"" (high reasoning) and
""non-thinking"" (fast, low-cost) modes. In this work, we reveal that
approximately 58% of medical questions can be accurately answered by the
non-thinking mode alone, without requiring the high-cost reasoning process.
This highlights a clear dichotomy in problem complexity and suggests that
dynamically routing queries to the appropriate mode based on complexity could
optimize accuracy, cost-efficiency, and overall user experience. Based on this,
we further propose SynapseRoute, a machine learning-based dynamic routing
framework that intelligently assigns input queries to either thinking or
non-thinking modes. Experimental results on several medical datasets
demonstrate that SynapseRoute not only improves overall accuracy (0.8390 vs.
0.8272) compared to the thinking mode alone but also reduces inference time by
36.8% and token consumption by 39.66%. Importantly, qualitative analysis
indicates that over-reasoning on simpler queries can lead to unnecessary delays
and even decreased accuracy, a pitfall avoided by our adaptive routing.
Finally, this work further introduces the Accuracy-Inference-Token (AIT) index
to comprehensively evaluate the trade-offs among accuracy, latency, and token
cost.","['Wencheng Zhang', 'Shiqin Qiao', 'Lingjie Luo', 'Yinfeng Li', 'Chuanyang Zheng', 'Qian Xu', 'Meng Li', 'Yong Gui', 'Yijun He', 'Jianing Qiu', 'Jindong Hong', 'Jiankai Sun']",2025-07-03 17:33:58+00:00,2025-07-03 17:33:58+00:00,http://arxiv.org/pdf/2507.02822v1,cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']"
Measurement as Bricolage: Examining How Data Scientists Construct Target Variables for Predictive Modeling Tasks,"Data scientists often formulate predictive modeling tasks involving fuzzy,
hard-to-define concepts, such as the ""authenticity"" of student writing or the
""healthcare need"" of a patient. Yet the process by which data scientists
translate fuzzy concepts into a concrete, proxy target variable remains poorly
understood. We interview fifteen data scientists in education (N=8) and
healthcare (N=7) to understand how they construct target variables for
predictive modeling tasks. Our findings suggest that data scientists construct
target variables through a bricolage process, involving iterative negotiation
between high-level measurement objectives and low-level practical constraints.
Data scientists attempt to satisfy five major criteria for a target variable
through bricolage: validity, simplicity, predictability, portability, and
resource requirements. To achieve this, data scientists adaptively use problem
(re)formulation strategies, such as swapping out one candidate target variable
for another when the first fails to meet certain criteria (e.g.,
predictability), or composing multiple outcomes into a single target variable
to capture a more holistic set of modeling objectives. Based on our findings,
we present opportunities for future HCI, CSCW, and ML research to better
support the art and science of target variable construction.","['Luke Guerdan', 'Devansh Saxena', 'Stevie Chancellor', 'Zhiwei Steven Wu', 'Kenneth Holstein']",2025-07-03 17:33:24+00:00,2025-07-03 17:33:24+00:00,http://arxiv.org/pdf/2507.02819v1,cs.HC,"['cs.HC', 'cs.CY', 'cs.LG']"
Genetic Features for Drug Responses in Cancer -- Investigating an Ensemble-Feature-Selection Approach,"Predicting drug responses using genetic and transcriptomic features is
crucial for enhancing personalized medicine. In this study, we implemented an
ensemble of machine learning algorithms to analyze the correlation between
genetic and transcriptomic features of cancer cell lines and IC50 values, a
reliable metric for drug efficacy. Our analysis involved a reduction of the
feature set from an original pool of 38,977 features, demonstrating a strong
linear relationship between genetic features and drug responses across various
algorithms, including SVR, Linear Regression, and Ridge Regression. Notably,
copy number variations (CNVs) emerged as more predictive than mutations,
suggesting a significant reevaluation of biomarkers for drug response
prediction. Through rigorous statistical methods, we identified a highly
reduced set of 421 critical features. This set offers a novel perspective that
contrasts with traditional cancer driver genes, underscoring the potential for
these biomarkers in designing targeted therapies. Furthermore, our findings
advocate for IC50 values as a predictable measurement of drug responses and
underscore the need for more data that can represent the dimensionality of
genomic data in drug response prediction. Future work will aim to expand the
dataset and refine feature selection to enhance the generalizability of the
predictive model in clinical settings.","['Johannes Schlüter', 'Alexander Schönhuth']",2025-07-03 17:33:12+00:00,2025-07-03 17:33:12+00:00,http://arxiv.org/pdf/2507.02818v1,q-bio.GN,['q-bio.GN']
ML-based muon identification using a FNAL-NICADD scintillator chamber for the MID subsystem of ALICE 3,"The ALICE Collaboration is planning to construct a new detector (ALICE 3)
aiming at exploiting the potential of the high-luminosity Large Hadron Collider
(LHC). The new detector will allow ALICE to participate in LHC Run 5 scheduled
from 2036 to 2041. The muon-identifier subsystem (MID) is part of the ALICE 3
reference detector layout. The MID will consist of a standard magnetic iron
absorber ($\approx4$ nuclear interaction lengths) followed by muon chambers.
The baseline option for the MID chambers considers plastic scintillation bars
equipped with wave-length shifting fibers and readout with silicon
photomultipliers. This paper reports on the performance of a MID chamber
prototype using 3 GeV/$c$ pion- and muon-enriched beams delivered by the CERN
Proton Synchrotron (PS). The prototype was built using extruded plastic
scintillator produced by FNAL-NICADD (Fermi National Accelerator Laboratory -
Northern Illinois Center for Accelerator and Detector Development). The
prototype was experimentally evaluated using varying absorber thicknesses (60,
70, 80, 90, and 100 cm) to assess its performance. The analysis was performed
using Machine Learning techniques and the performance was validated with GEANT
4 simulations. Potential improvements in both hardware and data analysis are
discussed.","['Jesus Eduardo Muñoz Mendez', 'Antonio Ortiz', 'Alom Antonio Paz Jimenez', 'Paola Vargas Torres', 'Ruben Alfaro Molina', 'Laura Helena González Trueba', 'Varlen Grabski', 'Arturo Fernandez Tellez', 'Hector David Regules Medel', 'Mario Rodriguez Cahuantzi', 'Guillermo Tejeda Muñoz', 'Yael Antonio Vasquez Beltran', 'Juan Carlos Cabanillas Noris', 'Solangel Rojas Torres', 'Gergely Gabor Barnafoldi', 'Daniel Szaraz', 'Dezso Varga', 'Robert Vertesi', 'Edmundo Garciaa Solis']",2025-07-03 17:32:39+00:00,2025-07-03 17:32:39+00:00,http://arxiv.org/pdf/2507.02817v1,physics.ins-det,"['physics.ins-det', 'hep-ex']"
Towards Perception-Informed Latent HRTF Representations,"Personalized head-related transfer functions (HRTFs) are essential for
ensuring a realistic auditory experience over headphones, because they take
into account individual anatomical differences that affect listening. Most
machine learning approaches to HRTF personalization rely on a learned
low-dimensional latent space to generate or select custom HRTFs for a listener.
However, these latent representations are typically learned in a manner that
optimizes for spectral reconstruction but not for perceptual compatibility,
meaning they may not necessarily align with perceptual distance. In this work,
we first study whether traditionally learned HRTF representations are well
correlated with perceptual relations using auditory-based objective perceptual
metrics; we then propose a method for explicitly embedding HRTFs into a
perception-informed latent space, leveraging a metric-based loss function and
supervision via Metric Multidimensional Scaling (MMDS). Finally, we demonstrate
the applicability of these learned representations to the task of HRTF
personalization. We suggest that our method has the potential to render
personalized spatial audio, leading to an improved listening experience.","['You Zhang', 'Andrew Francl', 'Ruohan Gao', 'Paul Calamia', 'Zhiyao Duan', 'Ishwarya Ananthabhotla']",2025-07-03 17:28:53+00:00,2025-07-03 17:28:53+00:00,http://arxiv.org/pdf/2507.02815v1,eess.AS,"['eess.AS', 'cs.SD']"
Replicable Distribution Testing,"We initiate a systematic investigation of distribution testing in the
framework of algorithmic replicability. Specifically, given independent samples
from a collection of probability distributions, the goal is to characterize the
sample complexity of replicably testing natural properties of the underlying
distributions. On the algorithmic front, we develop new replicable algorithms
for testing closeness and independence of discrete distributions. On the lower
bound front, we develop a new methodology for proving sample complexity lower
bounds for replicable testing that may be of broader interest. As an
application of our technique, we establish near-optimal sample complexity lower
bounds for replicable uniformity testing -- answering an open question from
prior work -- and closeness testing.","['Ilias Diakonikolas', 'Jingyi Gao', 'Daniel Kane', 'Sihan Liu', 'Christopher Ye']",2025-07-03 17:27:11+00:00,2025-07-03 17:27:11+00:00,http://arxiv.org/pdf/2507.02814v1,cs.LG,"['cs.LG', 'G.3']"
Advancements in Computing and Simulation Techniques for the HIBEAM-NNBAR Experiment,"The HIBEAM-NNBAR program is a proposed two-stage experiment at the European
Spallation Source focusing on searches for baryon number violation processes as
well as ultralight dark matter. This paper presents recent advancements in
computing and simulation, including machine learning for event selection, fast
parametric simulations for detector studies, and detailed modeling of the time
projection chamber and readout electronics.","['Bernhard Meirose', 'Jorge Amaral', 'Alexander Burgman', 'Matthias Holl', 'Ernesto Kemp', 'Adam Kozela', 'David Milstead', 'André Nepomuceno', 'Anders Oskarsson', 'Krzysztof Pysz', 'Valentina Santoro', 'Tiago Quirino', 'Blahoslav Rataj', 'Gabriel Silva', 'Samuel Silverstein', 'Magnus Wolke', 'Lucas Åstrand']",2025-07-03 17:20:10+00:00,2025-07-03 17:20:10+00:00,http://arxiv.org/pdf/2507.02810v1,physics.ins-det,['physics.ins-det']
"Prediction of synthesis parameters for N, Si, Ge and Sn diamond vacancy centers using machine learning","Diamond and diamond color centers have become prime hardware candidates for
solid state-based technologies in quantum information and computing, optics,
photonics and (bio)sensing. The synthesis of diamond materials with specific
characteristics and the precise control of the hosted color centers is thus
essential to meet the demands of advanced applications. Yet, challenges remain
in improving the concentration, uniform distribution and quality of these
centers. Here we perform a review and meta-analysis of some of the main diamond
synthesis methods and their parameters for the synthesis of N-, Si-, Ge- and
Sn-vacancy color-centers, including worldwide trends in fabrication techniques
and processes. We extract quantitative data from over 60 experimental papers
and organize it in a large database (170 data sets and 1692 entries). We then
use the database to train two machine learning algorithms to make robust
predictions about the fabrication of diamond materials with specific properties
from careful combinations of synthesis parameters. We use traditional
statistical indicators to benchmark the performance of the algorithms and show
that they are powerful and resource-efficient tools for researchers and
material scientists working with diamond color centers and their applications.","['Zhi Jiang', 'Marco Peres', 'Carlo Bradac', 'Gil Gonçalves']",2025-07-03 17:16:14+00:00,2025-07-03 17:16:14+00:00,http://arxiv.org/pdf/2507.02808v1,cond-mat.mtrl-sci,"['cond-mat.mtrl-sci', 'quant-ph']"
In-Training Multicalibrated Survival Analysis for Healthcare via Constrained Optimization,"Survival analysis is an important problem in healthcare because it models the
relationship between an individual's covariates and the onset time of an event
of interest (e.g., death). It is important for survival models to be
well-calibrated (i.e., for their predicted probabilities to be close to
ground-truth probabilities) because badly calibrated systems can result in
erroneous clinical decisions. Existing survival models are typically calibrated
at the population level only, and thus run the risk of being poorly calibrated
for one or more minority subpopulations. We propose a model called GRADUATE
that achieves multicalibration by ensuring that all subpopulations are
well-calibrated too. GRADUATE frames multicalibration as a constrained
optimization problem, and optimizes both calibration and discrimination
in-training to achieve a good balance between them. We mathematically prove
that the optimization method used yields a solution that is both near-optimal
and feasible with high probability. Empirical comparisons against
state-of-the-art baselines on real-world clinical datasets demonstrate
GRADUATE's efficacy. In a detailed analysis, we elucidate the shortcomings of
the baselines vis-a-vis GRADUATE's strengths.","['Thiti Suttaket', 'Stanley Kok']",2025-07-03 17:16:05+00:00,2025-07-03 17:16:05+00:00,http://arxiv.org/pdf/2507.02807v1,cs.LG,['cs.LG']
